英文短語,中文翻譯,補充用法,例句
a job seeker,求職者,seek v. 尋找,Several job seekers attended the employment fair to speak with recruiters.
an important client,重要客戶,,The sales team will meet with an important client at ten o’clock.
a fax machine,傳真機,,The fax machine is next to the copy machine in the reception area.
a business card,一張名片,,Please bring a business card when you pick up your conference badge.
a lunch break,午休,,Employees may use the lounge during their lunch break.
a commercial break,廣告休息時間,commercial adj. 商業的 n. 商業廣告,The radio host introduced the product during a commercial break.
a completed form,一份填完的表格,complete adj. 完整的 v. 完成,Please submit a completed form to the registration desk.
a keynote speaker,主講人,,A keynote speaker will open the technology conference on Monday.
an upcoming event,即將到來的活動,,The newsletter provides details about an upcoming event at the museum.
a local election,地方選舉,elect v. 選舉,The article discusses the results of a local election.
a sports competition,體育比賽,compete v. 競爭 competitive adj. 競爭激烈的；很有競爭力的,The city will host a sports competition at the new stadium.
a popular course,熱門課程,,Registration for a popular course closed within two hours.
an ordinary street,一條普通的街道,,The café is located on an ordinary street near the train station.
a thrilling adventure,刺激的冒險,thrill v. 使…激動、興奮 n. 激動、興奮 thrilled adj. 感到刺激的,The travel agency is promoting a thrilling adventure in the mountains.
a coupon code,優惠券代碼,,Enter a coupon code at checkout to receive free shipping.
a discount coupon,折扣優惠券,,Customers can use a discount coupon on their next purchase.
a press release,新聞稿,是一種由單位發送予新聞傳媒用以公佈消息的通信文件。,The company issued a press release announcing its new product line.
a class reunion,同學會,reunite v. 重聚；再結合,A class reunion will be held at the downtown hotel in July.
a weather forecast,天氣預報,,"According to the weather forecast, heavy rain is expected tomorrow."
a smooth flight,平穩的飛行／航程,,Passengers thanked the crew for a smooth flight to Singapore.
a company outing,公司郊遊,,The human resources department is organizing a company outing.
a company picnic,公司野餐,,Employees are invited to a company picnic at Green Park.
an admission ticket,入場券,admit v. 允許（進入） be admitted to N/Ving 被允許進入,Visitors must show an admission ticket at the entrance.
a seating chart,座位表,,Please check the seating chart before entering the auditorium.
a brief outline,簡要概述,,The project manager gave a brief outline of the schedule.
a stationery store,文具店,,A stationery store on First Avenue sells printer paper and envelopes.
a cash reward,現金回饋,,The survey winner will receive a cash reward.
a magazine editor,雜誌編輯,edit v. 編輯,A magazine editor reviewed the article before publication.
a leading company,具領導地位的公司,lead v. 領導 leader n. 領導者,A leading company in the industry opened a new research center.
a networking event,社交活動,,The chamber of commerce will hold a networking event next week.
an informal meeting,非正式會議,formal adj. 正式的,An informal meeting was arranged to discuss the proposal.
a return policy,退貨政策,,The store changed its return policy to allow refunds within thirty days.
a rental car,一輛出租汽車,rent v. 租用；出租 n. 租金,The consultant reserved a rental car for the business trip.
a monthly rent,月租費,,The monthly rent includes water and Internet service.
a lunch buffet,自助午餐,,The hotel offers a lunch buffet from noon to two o’clock.
an accounting firm,會計師事務所,accounting n. 會計 accountant n. 會計師,An accounting firm prepared the company’s annual tax report.
a public hearing,公開聽證會,政府或國會為了解真相而舉行聽取說明作證的會議。,Residents attended a public hearing about the new bus route.
a book signing,簽書會,,The bookstore will host a book signing with a famous author.
a parking permit,停車許可證,permit n. 許可證 v. 准許,Employees must display a parking permit in the front window.
a parking pass,停車證,,Visitors can request a parking pass at the security desk.
a guided tour,有導覽的遊程,guide v. 引導 n. 導遊,A guided tour of the factory begins every Friday afternoon.
a full-time job,一份全職工作,part-time adj. adv. 兼職的,She accepted a full-time job at a marketing agency.
a music festival,音樂節,,The city’s annual music festival attracts thousands of visitors.
a power outage,停電,,The power outage delayed production for nearly two hours.
a new library branch,新的圖書館分館,branch n. 樹枝；分公司,A new library branch will open in the northern district.
a decline in sales,銷售下滑,decline n. 減少 v. 減少；婉拒,A decline in sales led the company to revise its forecast.
a reduced price,降價,reduce v. 減少,The store is offering the laptop at a reduced price this week.
an invoice for $350,350 美元的發票,,Please send an invoice for $350 to the accounting department.
an electronic alert,電子通知,,Customers will receive an electronic alert when their order ships.
a science lecture,科學講座／授課,,The professor will give a science lecture in Room 204.
